date,state,route,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,available_seats,price
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,04h 00m,09:00,3.5,2,INR 270
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 174840,Bharat Benz A/C Seater (2+2),06:15,04h 15m,10:30,4,23,INR 298
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 174830,Bharat Benz A/C Seater (2+2),09:30,04h 30m,14:00,3,23,INR 298
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 170878,Bharat Benz A/C Seater (2+2),10:35,04h 40m,15:15,4.4,14,INR 298
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 157959,Bharat Benz A/C Seater (2+2),14:00,04h 30m,18:30,4.5,18,INR 298
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 168821,Bharat Benz A/C Seater (2+2),15:45,04h 45m,20:30,3.6,35,INR 298
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,16:15,04h 15m,20:30,4.9,24,INR 298
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,NEELKANTH TRAVELS,A/C Seater Push Back (2+2),05:15,03h 15m,08:30,4.5,26,INR 300
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Sparrow Travels (Under ASTC),A/C Seater Push Back (2+2),05:20,04h 10m,09:30,3.7,40,INR 300
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,MAA Anada (UNDER ASTC),AC Seater (2+2),05:20,03h 10m,08:30,4.1,28,INR 304.2
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Kanchan Travels,AC Seater (2+2),05:30,03h 15m,08:45,4.3,20,INR 332
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Mahi Travels(Under ASTC),A/C Seater (2+2),05:40,03h 15m,08:55,4.7,12,INR 340
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,WARISPIYA TRAVELS,AC Seater (2+2),05:45,03h 15m,09:00,3.9,32,INR 360
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Orient Transline,NON A/C Seater (2+1),05:55,03h 25m,09:20,3.9,19,INR 285.71
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),06:15,03h 20m,09:35,3.9,17,INR 329
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,03h 55m,10:25,4,22,INR 360
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Orient Transline,A/C Seater (2+1),07:25,03h 30m,10:55,4.6,10,INR 342.86
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,WARISPIYA TRAVELS,AC Seater (2+2),07:45,04h 15m,12:00,4.1,31,INR 360
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Mahi Travels(Under ASTC),A/C Seater (2+2),08:00,03h 30m,11:30,4.5,28,INR 357
23-Jul,Assam,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Mahalaxmi Travels,Tata A/C Seater (2+2),09:55,03h 50m,13:45,3.5,36,INR 300
