date,state,route,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,available_seats,price
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 16:10 (BWN DEPOT) - 58,Non AC Seater (2+3),16:10,02h 30m,18:40,4.3,5,INR 100
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 16:45 (BWN DEPOT) - 59,Non AC Seater (2+3),16:45,02h 30m,19:15,4.0,8,INR 100
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KOLKATA - 17:00 (BWN DEPOT) - 41,Non AC Seater (2+3),17:00,02h 00m,19:00,4.0,25,INR 95
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 17:30 (BWN DEPOT) - 60,Non AC Seater (2+3),17:30,02h 30m,20:00,3.9,29,INR 100
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 18:30 (BWN DEPOT) - 61,Non AC Seater (2+3),18:30,02h 30m,21:00,4.1,44,INR 100
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),14:55,02h 50m,17:45,4.6,27,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C Semi Sleeper (2+2),15:20,02h 40m,18:00,4.4,4,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line (Karunamoyee),Volvo A/C Seater (2+2),15:20,02h 50m,18:10,4.2,20,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line,Volvo A/C Seater (2+2),16:10,02h 50m,19:00,4.4,7,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Volvo A/C Seater (2+2),16:40,02h 50m,19:30,4.1,9,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),17:00,03h 00m,20:00,3.9,31,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,Scania Multi-Axle AC Semi Sleeper (2+2),17:00,02h 50m,19:50,4.7,23,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),17:30,02h 55m,20:25,4.8,30,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),17:40,02h 50m,20:30,3.9,29,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:30,02h 50m,21:20,3.5,26,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),19:40,03h 10m,22:50,4.0,40,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo Multi-Axle A/C Semi Sleeper (2+2),17:45,03h 00m,20:45,2.8,30,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:55,02h 40m,21:35,2.8,19,INR 429
22 Jul,South Bengal,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),19:15,02h 45m,22:00,2.6,16,INR 429
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-GARIA - RAMPURHAT - VIA - FUTISANKO - 05:20 - 2817,Non AC Seater (2+3),05:20,18h 40m,00:00,3.9,52,INR 110
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - ASANSOL - L/S - 06:00 (HOWRAH DEPOT) - 264,Non AC Seater (2+3),06:00,02h 00m,08:00,2.8,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 06:30 (BWN DEPOT) - 104,Non AC Seater (2+3),06:30,02h 00m,08:30,4.2,50,INR 100
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 07:15 (BWN DEPOT) - 105,Non AC Seater (2+3),07:15,02h 00m,09:15,4.2,48,INR 100
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - LABPUR - VIA KIRNAHAR - 07:25 (HWH DEPOT - 1118,Non AC Seater (2+3),07:25,02h 00m,09:25,3.3,49,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 07:45 (BWN DEPOT) - 456,Non AC Seater (2+3),07:45,02h 00m,09:45,4.1,49,INR 100
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 08:15 (BWN DEPOT) - 64,Non AC Seater (2+3),08:15,02h 00m,10:15,4.1,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 08:30 (BWN DEPOT) - 106,Non AC Seater (2+3),08:30,02h 00m,10:30,3.9,52,INR 100
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KUDGHAT - RAMPURHAT - VIA - PANAGARH - 07:15 (RPH - 2742,Non AC Seater (2+3),08:30,02h 00m,10:30,2.1,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 08:45 (BWN DEPOT) - 66,Non AC Seater (2+3),08:45,02h 00m,10:45,4.4,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 09:00 (BWN DEPOT) - 107,Non AC Seater (2+3),09:00,02h 00m,11:00,3.8,52,INR 100
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 09:10 (BWN DEPOT) - 67,Non AC Seater (2+3),09:10,02h 00m,11:10,3.7,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - HARISHPUR - VIA - SURI - 09:30 (BEL DEPO - 1152,Non AC Seater (2+3),09:30,02h 15m,11:45,3.9,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - TARAPITH - VIA - FUTISANKO - 09:30 (FALT - 2889,Non AC Seater (2+3),09:30,02h 00m,11:30,3.9,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 09:50 (BWN DEPOT) - 70,Non AC Seater (2+3),09:50,02h 00m,11:50,3.1,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 10:05 (BWN DEPOT) - 1055,Non AC Seater (2+3),10:05,02h 00m,12:05,4.2,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 10:15 (BWN DEPOT) - 712,Non AC Seater (2+3),10:15,02h 00m,12:15,3.7,52,INR 100
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 10:25 (BWN DEPOT) - 478,Non AC Seater (2+3),10:25,02h 00m,12:25,4.2,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 10:45 (BWN DEPOT) - 72,Non AC Seater (2+3),10:45,02h 00m,12:45,3.9,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 10:45 (BWN DEPOT) - 710,Non AC Seater (2+3),10:45,02h 00m,12:45,3.7,52,INR 100
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 11:05 (KALNA DEPOT) - 938,Non AC Seater (2+3),11:05,02h 00m,13:05,4.3,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - DURGAPUR - L/S - 11:20 (DGP DEPOT) - 758,Non AC Seater (2+3),11:20,02h 00m,13:20,3.9,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 11:25 (BWN DEPOT) - 74,Non AC Seater (2+3),11:25,02h 00m,13:25,4.6,52,INR 95
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 11:45 (BWN DEPOT) - 110,Non AC Seater (2+3),11:45,02h 00m,13:45,3.8,52,INR 100
25 Jul,South Bengal,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - NANOOR - 11:55 (BWN DEPOT) - 1110,Non AC Seater (2+3),11:55,02h 00m,13:55,2.5,52,INR 95
